"Адрес ""грязный""";Адрес чистый
Приморский край, г. Уссурийск, ул. Агеева, 71;г. Уссурийск, ул. Агеева, 71
Приморский край, г. Уссурийск, ул. Амурская, 41;г. Уссурийск, ул. Амурская, 41
Приморский край, г. Уссурийск, ул. Андрея Кушнира, 23;г. Уссурийск, ул. Андрея Кушнира, 23
Приморский край, г. Уссурийск, ул. Владивостокское шоссе, 8;г. Уссурийск, ул. Владивостокское шоссе, 8
Приморский край, г. Уссурийск, ул. Владивостокское шоссе, д. 109;г. Уссурийск, ул. Владивостокское шоссе, д. 109
Приморский край, г. Уссурийск, ул. Володарского, 14;г. Уссурийск, ул. Володарского, 14
Приморский край, г. Уссурийск, ул. Воровского, 55;г. Уссурийск, ул. Воровского, 55
Приморский край, г. Уссурийск, ул. Горького, 20;г. Уссурийск, ул. Горького, 20
Приморский край, г. Уссурийск, ул. Горького, 22;г. Уссурийск, ул. Горького, 22
Приморский край, г. Уссурийск, ул. Григоренко, 100;г. Уссурийск, ул. Григоренко, 100
Приморский край, г. Уссурийск, ул. Дальневосточная, 17;г. Уссурийск, ул. Дальневосточная, 17
Приморский край, г. Уссурийск, ул. Заречная, 16, каб. 203;г. Уссурийск, ул. Заречная, 16, каб. 203
Приморский край, г. Уссурийск, пер. Илюшина, 3;г. Уссурийск, пер. Илюшина, 3
Приморский край, г. Уссурийск, ул. Калинина, 17;г. Уссурийск, ул. Калинина, 17
Приморский край, г. Уссурийск, ул. Каховская, 17;г. Уссурийск, ул. Каховская, 17
Приморский край, г. Уссурийск, ул. Короленко, 11А;г. Уссурийск, ул. Короленко, 11А
Приморский край, г. Уссурийск, ул. Крестьянская, 55;г. Уссурийск, ул. Крестьянская, 55
Приморский край, г. Уссурийск, ул. Кузнечная, 5;г. Уссурийск, ул. Кузнечная, 5
Приморский край, г. Уссурийск, ул. Ленина, 70;г. Уссурийск, ул. Ленина, 70
Приморский край, г. Уссурийск, ул. Ленина, 144;г. Уссурийск, ул. Ленина, 144
Приморский край, г. Уссурийск, ул. Ленинградская, 59;г. Уссурийск, ул. Ленинградская, 59
Приморский край, г. Уссурийск, ул. Некрасова, 19;г. Уссурийск, ул. Некрасова, 19
Приморский край, г. Уссурийск, ул. Некрасова, 50, каб. 21;г. Уссурийск, ул. Некрасова, 50, каб. 21
Приморский край, г. Уссурийск, ул. Некрасова, 66, каб. 210;г. Уссурийск, ул. Некрасова, 66, каб. 210
Приморский край, г. Уссурийск, ул. Некрасова, д 201 а;г. Уссурийск, ул. Некрасова, д 201 а
Приморский край, г. Уссурийск, ул. Пионерская, 92;г. Уссурийск, ул. Пионерская, 92
Приморский край, г. Уссурийск, ул. Пушкина, 77;г. Уссурийск, ул. Пушкина, 77
Приморский край, г. Уссурийск, ул. Раковская, 2а;г. Уссурийск, ул. Раковская, 2а
Приморский край, г. Уссурийск, ул. Русская, 35;г. Уссурийск, ул. Русская, 35
Приморский край, г. Уссурийск, ул. Слободская, 49;г. Уссурийск, ул. Слободская, 49
Приморский край, г. Уссурийск, ул. Советская, 33;г. Уссурийск, ул. Советская, 33
Приморский край, г. Уссурийск, ул. Суханова, 70, каб. 14;г. Уссурийск, ул. Суханова, 70, каб. 14
Приморский край, г. Уссурийск, ул. Теодора Тихого, 9;г. Уссурийск, ул. Теодора Тихого, 9
Приморский край, г. Уссурийск, ул. Чичерина, 46;г. Уссурийск, ул. Чичерина, 46
Приморский край, г. Уссурийск, ул. Чичерина, 146;г. Уссурийск, ул. Чичерина, 146
Приморский край, г. Находка, ул. Арсеньева, 14А;г. Находка, ул. Арсеньева, 14А
Приморский край, г. Находка, ул. Астафьева, 123;г. Находка, ул. Астафьева, 123
Приморский край, г. Находка, ул. Бокситогорская, 20;г. Находка, ул. Бокситогорская, 20
Приморский край, г. Находка, ул. Владивостокская, 22;г. Находка, ул. Владивостокская, 22
Приморский край, г. Находка, ул. Дзержинского, 9;г. Находка, ул. Дзержинского, 9
Приморский край, г. Находка, ул. Кирова, 13;г. Находка, ул. Кирова, 13
Приморский край, г. Находка, ул. Комсомольская, 32;г. Находка, ул. Комсомольская, 32
Приморский край, г. Находка, ул. Луначарского, 13;г. Находка, ул. Луначарского, 13
Приморский край, г. Находка, ул. Малиновского, 25;г. Находка, ул. Малиновского, 25
Приморский край, г. Находка, пр-кт. Мира, 10;г. Находка, пр-кт. Мира, 10
Приморский край, г. Находка, пр-кт. Мира, 24Б;г. Находка, пр-кт. Мира, 24Б
Приморский край, г. Находка, ул. Мичурина, 10А;г. Находка, ул. Мичурина, 10А
Приморский край, г. Находка, ул. Мичурина, 12А;г. Находка, ул. Мичурина, 12А
Приморский край, г. Находка, ул. Молодежная, 14;г. Находка, ул. Молодежная, 14
Приморский край, г. Находка, пр-кт. Находкинский, 108;г. Находка, пр-кт. Находкинский, 108
Приморский край, г. Находка, бульвар Озерный, 7, квартира 63;г. Находка, бульвар Озерный, 7, квартира 63
Приморский край, г. Находка, ул. Ручейная, 29;г. Находка, ул. Ручейная, 29
Приморский край, г. Находка, ул. Садовая, 1;г. Находка, ул. Садовая, 1
Приморский край, г. Находка, ул. Северная, 10;г. Находка, ул. Северная, 10
Приморский край, г. Находка, ул. Сенявина, 15;г. Находка, ул. Сенявина, 15
Приморский край, г. Находка, ул. Школьная, 18, каб. 504;г. Находка, ул. Школьная, 18, каб. 504
Приморский край, г. Находка, пер. Школьный, 1;г. Находка, пер. Школьный, 1
Приморский край, г. Находка, ул. Юбилейная, 12;г. Находка, ул. Юбилейная, 12
Приморский край, г. Артем, ул. Амурская, 46;г. Артем, ул. Амурская, 46
Приморский край, г. Артем, ул. Донбасская, 17;г. Артем, ул. Донбасская, 17
Приморский край, г. Артём, ул. Интернациональная, 58;г. Артём, ул. Интернациональная, 58
Приморский край, г. Артем, ул. Кирова, 42, каб. 19;г. Артем, ул. Кирова, 42, каб. 19
Приморский край, г. Артем, ул. Кирова, 57, 1 этаж;г. Артем, ул. Кирова, 57, 1 этаж
Приморский край, г. Артем, ул. Кирова, 62;г. Артем, ул. Кирова, 62
Приморский край, г. Артем, ул. Кирова, 77;г. Артем, ул. Кирова, 77
Приморский край, г. Артем, ул.Кирова, 89;г. Артем, ул.Кирова, 89
Приморский край, г. Артем, ул. Кирова, 92;г. Артем, ул. Кирова, 92
Приморский край, г. Артем, ул. Кирова, 138;г. Артем, ул. Кирова, 138
Приморский край, г. Артем, ул. Ключевая, 1, каб. 202;г. Артем, ул. Ключевая, 1, каб. 202
Приморский край, г. Артем, ул. Севастопольская, 27;г. Артем, ул. Севастопольская, 27
Приморский край, Артёмовский городской округ, с. Олений, ул. Силина, 15;с. Олений, ул. Силина, 15
Приморский край, г. Артем, ул. Фрунзе, 6;г. Артем, ул. Фрунзе, 6
Приморский край, г. Артем, ул. Фрунзе, 28;г. Артем, ул. Фрунзе, 28
Приморский край, г. Артем, ул. Фрунзе, 101;г. Артем, ул. Фрунзе, 101
Приморский край, г. Артем, ул. Чайковского, 53;г. Артем, ул. Чайковского, 53
Удмуртская Республика, г. Ижевск, ул. Буммашевская, 15;г. Ижевск, ул. Буммашевская, 15
Республика Коми, г. Воркута, ул. Дончука, 9Б;г. Воркута, ул. Дончука, 9Б
Республика Коми, г. Воркута, ул. Ленина 16А;г. Воркута, ул. Ленина 16А
Республика Коми, г. Воркута, ул. Ленина, 33Б;г. Воркута, ул. Ленина, 33Б
Республика Коми, г. Воркута, ул. Ленина, 45, кабинет 506;г. Воркута, ул. Ленина, 45
Республика Коми, г. Сыктывкар, ул. Куратова, 95а;г. Сыктывкар, ул. Куратова, 95а
Республика Коми, г. Сыктывкар, ул. Оплеснина, 34;г. Сыктывкар, ул. Оплеснина, 34
Республика Коми, г. Сыктывкар, ул. Советская, 14;г. Сыктывкар, ул. Советская, 14
Республика Коми, г. Сыктывкар, ул. Советская, 59;г. Сыктывкар, ул. Советская, 59
Республика Коми, г. Сыктывкар, ул. Южная, 15;г. Сыктывкар, ул. Южная, 15
Свердловская область, г. Первоуральск, ул. Зои Космодемьянской, 20;г. Первоуральск, ул. Зои Космодемьянской, 20
Республика Коми, г. Сыктывкар, ул. Димитрова, 44 дробь 1;г. Сыктывкар, ул. Димитрова, 44 дробь 1
Республика Коми, г. Сыктывкар, ул. Катаева, 29;г. Сыктывкар, ул. Катаева, 29
Республика Коми, г. Сыктывкар, ул. Катаева, 37;г. Сыктывкар, ул. Катаева, 37
Республика Коми, г. Сыктывкар, ул. Пушкина, 116 дробь 6;г. Сыктывкар, ул. Пушкина, 116 дробь 6
Республика Коми, г.Сыктывкар, ул. Старовского, 20;г.Сыктывкар, ул. Старовского, 20
Республика Коми, г.Сыктывкар, ул. Старовского, 22;г.Сыктывкар, ул. Старовского, 22
Республика Коми, г. Сыктывкар, ул. Старовского, 53;г. Сыктывкар, ул. Старовского, 53
Республика Коми, г. Сыктывкар, ул. Карла Маркса, 120;г. Сыктывкар, ул. Карла Маркса, 120
Республика Коми, г. Сыктывкар, ул. Малышева 21;г. Сыктывкар, ул. Малышева 21
Республика Коми, г. Сыктывкар, ул. Печорская, 56;г. Сыктывкар, ул. Печорская, 56
Воронежская область, город Воронеж, площадь Ленина, дом 1;г. Воронеж, площадь Ленина, дом 1
Республика Бурятия, г. Улан-Удэ, проспект Строителей, 62А;г. Улан-Удэ, проспект Строителей, 62А
Республика Бурятия, г. Улан-Удэ, ул. Королева, 10;г. Улан-Удэ, ул. Королева, 10
Республика Бурятия, г. Улан-Удэ, проспект 50-летия Октября, 19;г. Улан-Удэ, проспект 50-летия Октября, 19
Республика Бурятия, город Улан-Удэ, улица Кирова, 35;г. Улан-Удэ,ул. Кирова, 35
Бурятия респ., г. Улан-Удэ, ул. Родины, 8;г. Улан-Удэ, ул. Родины, 8
Республика Бурятия, г. Улан-Удэ, ул. Мокрова, 30;г. Улан-Удэ, ул. Мокрова, 30
Бурятия респ., г. Улан-Удэ, ул. Богданова, 2А (2-е зд.);г. Улан-Удэ, ул. Богданова, 2А 
Респу блика Бурятия, г. Улан-Удэ, ул. Буйко, 32;г. Улан-Удэ, ул. Буйко, 32
Республика Бурятия, город Улан-Удэ, улица Буйко, 28А;г. Улан-Удэ,ул. Буйко, 28А
Бурятия респ., г. Улан-Удэ, ул. Буйко, 29а;г. Улан-Удэ, ул. Буйко, 29а
Респу блика Бурятия, г. Улан-Удэ, у лица Воронежская, 3;г. Улан-Удэ, у лица Воронежская, 3
Республика Бурятия, город Улан-Удэ, Геологическая улица, 23;г. Улан-Удэ, Геологическая улица, 23
Бурятия респ., г. Улан-Удэ, ул. Горхонская, 3А;г. Улан-Удэ, ул. Горхонская, 3А
Республика Бурятия, город Улан-Удэ, ул. Кабанская, 52;г. Улан-Удэ, ул. Кабанская, 52
Республика Бурятия, г. Улан-Удэ, ул. Моховая, 6;г. Улан-Удэ, ул. Моховая, 6
Бурятия респ., г. Улан-Удэ, ул. Новая, 44 (2-е зд.);г. Улан-Удэ, ул. Новая, 44 
Бурятия респ., г. Улан-Удэ, ул. Профсоюзная, 38;г. Улан-Удэ, ул. Профсоюзная, 38
Бурятия респ., г. Улан-Удэ, ул. Радищева, 11А;г. Улан-Удэ, ул. Радищева, 11А
Бурятия респ., г. Улан-Удэ, ул. Сахалинская, 32;г. Улан-Удэ, ул. Сахалинская, 32
Республика Бурятия, г. Улан-Удэ, ул. Чертенкова, 34;г. Улан-Удэ, ул. Чертенкова, 34
Бурятия респ., г. Улан-Удэ, ул.Санаторно-лесная школа,1;г. Улан-Удэ, ул.Санаторно-лесная школа,1
Республика Бурятия, г. Улан-Удэ, ул. Гагарина, 73 б;г. Улан-Удэ, ул. Гагарина, 73 б
Бурятия респ., г. Улан-Удэ, ул. Бабушкина, 31;г. Улан-Удэ, ул. Бабушкина, 31
Вологодская область, г. Череповец, ул. Вологодская, 48;г. Череповец, ул. Вологодская, 48
Вологодская область, г. Череповец, ул. Гоголя, 21;г. Череповец, ул. Гоголя, 21
Вологодская область, г. Череповец, ул. Мира, 25;г. Череповец, ул. Мира, 25
Вологодская область, г. Череповец, пр-кт Победы, 10;г. Череповец, пр-кт Победы, 10
Вологодская область, г. Череповец, пр-кт Победы, 18;г. Череповец, пр-кт Победы, 18
Вологодская область, г. Череповец, ул. Рыбинская, 37;г. Череповец, ул. Рыбинская, 37
Вологодская область, г. Череповец, ул. Сталеваров, 26;г. Череповец, ул. Сталеваров, 26
Мурманская область, г. Мурманск, улица Шевченко, 32;г. Мурманск,ул. Шевченко, 32
Ханты Мансийский Автономный Округ -Югра, г. Нижневартовск, ул. Северная, 52;г. Нижневартовск, ул. Северная, 52
Хабаровский край, г. Комсомольск-на-Амуре, мкр. Дружба, 35;г. Комсомольск-на-Амуре, мкр. Дружба, 35
Хабаровский край, Комсомольский район, г. Комсомольск-на-Амуре, ул. Копровая, 12;г. Комсомольск-на-Амуре, ул. Копровая, 12
Мурманская область, г. Мурманск, ул. Карла Маркса, 13;г. Мурманск, ул. Карла Маркса, 13
Мурманская область, г. Мурманск, ул. Подгорная, 56;г. Мурманск, ул. Подгорная, 56
Мурманская область, г. Мурманск, ул. Ломоносова, 16;г. Мурманск, ул. Ломоносова, 16
Мурманская область, г. Мурманск, ул. Лобова, 9 корп. 6;г. Мурманск, ул. Лобова, 9 корп. 6
Мурманская область, г. Мурманск, ул. Калинина, 36;г. Мурманск, ул. Калинина, 36
Мурманская область, г. Мурманск, улица Алексея Хлобыстова, 34;г. Мурманск,ул. Алексея Хлобыстова, 34
Свердловская область, г. Первоуральск, ул. Чкалова, 17;г. Первоуральск, ул. Чкалова, 17
Свердловская область, г. Первоуральск, ул. Чкалова, 26;г. Первоуральск, ул. Чкалова, 26
Хабаровский край, г. Комсомольск-на-Амуре, ш. Комсомольское, 26;г. Комсомольск-на-Амуре, ш. Комсомольское, 26
Хабаровский край, г. Комсомольск-на-Амуре, пр-кт Ленина, 20;г. Комсомольск-на-Амуре, пр-кт Ленина, 20
Хабаровский край, Комсомольский район, г. Комсомольск-на-Амуре, пр-кт Октябрьский, 35;г. Комсомольск-на-Амуре, пр-кт Октябрьский, 35
Хабаровский край, г. Комсомольск-на-Амуре, ул. Пионерская, 73;г. Комсомольск-на-Амуре, ул. Пионерская, 73
Хабаровский край, г. Комсомольск-на-Амуре, ул. Севастопольская, 51;г. Комсомольск-на-Амуре, ул. Севастопольская, 51
Хабаровский край, г. Комсомольск-на-Амуре, ул. Аллея Труда, 13;г. Комсомольск-на-Амуре, ул. Аллея Труда, 13
Воронежская область, г. Воронеж, ул. Хмельницкого, 60;г. Воронеж, ул. Хмельницкого, 60
Воронежская область, г. Воронеж, Ленинский проспект, 124;г. Воронеж, Ленинский проспект, 124
Приморский край, г. Уссурийск, ул. Владивостокское шоссе, 113А;г. Уссурийск, ул. Владивостокское шоссе, 113А
Астраханская область, г. Астрахань, ул. Адмирала Нахимова, 62;г. Астрахань, ул. Адмирала Нахимова, 62
Оренбургская область, Тоцкий район, п. Молодежный, ул. Комсомольская, 19;п. Молодежный, ул. Комсомольская, 19
Астраханская область, г. Астрахань, ул. Артельная, 7;г. Астрахань, ул. Артельная, 7
Астраханская область, г. Астрахань, ул. Бабушкина, 52;г. Астрахань, ул. Бабушкина, 52
Астраханская область, г. Астрахань, Коммунистическая, 48;г. Астрахань, Коммунистическая, 48
Астраханская область, г. Астрахань, ул. Коммунистическая, 12;г. Астрахань, ул. Коммунистическая, 12
Астраханская область, г. Астрахань, Сабанс Яр, 11;г. Астрахань, Сабанс Яр, 11
Астраханская область, г. Астрахань, пер. Смоляной, 4;г. Астрахань, пер. Смоляной, 4
Астраханская область, г. Астрахань, ул. Таганская, 30;г. Астрахань, ул. Таганская, 30
Астраханская область, г. Астрахань, ул. Туапсинская, 34;г. Астрахань, ул. Туапсинская, 34
Астраханская область, г. Астрахань, ул. Тургенева, 4;г. Астрахань, ул. Тургенева, 4
Астраханская область, г. Астрахань, ул. Шаумяна, 60;г. Астрахань, ул. Шаумяна, 60
Свердловская область, г. Серов, ул. 8 Марта, 16;г. Серов, ул. 8 Марта, 16
Свердловская область, г. Серов, ул. Агломератчиков,д.19;г. Серов, ул. Агломератчиков,д.19
Свердловская область, г. Серов, ул. Жданова, д. 5;г. Серов, ул. Жданова, д. 5
Свердловская область, г. Серов, ул. Калинина, 28;г. Серов, ул. Калинина, 28
Свердловская область, г. Серов, ул. Короленко, 16;г. Серов, ул. Короленко, 16
Свердловская область, г. Серов, ул. Красногвардейская, 11;г. Серов, ул. Красногвардейская, 11
Свердловская область, г. Серов, ул. Крупской, 24;г. Серов, ул. Крупской, 24
Свердловская область, г. Серов, ул. Ленина, 167;г. Серов, ул. Ленина, 167
Свердловская область, г. Серов, ул. Ленина, 185;г. Серов, ул. Ленина, 185
Свердловская область, г. Серов, ул. Лизы Чайкиной, 31;г. Серов, ул. Лизы Чайкиной, 31
Свердловская область, г. Серов, ул. Малыгина, 1;г. Серов, ул. Малыгина, 1
Свердловская область, г. Серов, ул. Попова, 19;г. Серов, ул. Попова, 19
Свердловская область, г. Серов, ул. Республиканская, 30;г. Серов, ул. Республиканская, 30
Приморский край, г. Артем, ул. Ворошилова, 13;г. Артем, ул. Ворошилова, 13
Приморский край, г. Артем, ул. Гагарина, 135;г. Артем, ул. Гагарина, 135
Приморский край, г. Артем, ул. Днепростроевская, 6;г. Артем, ул. Днепростроевская, 6
Приморский край, г. Артем, ул. Михайловская, 1;г. Артем, ул. Михайловская, 1
Приморский край, г. Артем, ул. Ремзаводская, 5;г. Артем, ул. Ремзаводская, 5
Приморский край, Артёмовский городской округ, с. Олений, ул. Силина, 23;Артёс. Олений, ул. Силина, 23
Ханты-Мансийский автономный округ - Югра, город Нижневартовск, улица Ленина, 6;г. Нижневартовск,ул. Ленина, 6
Приморский край, г. Уссурийск, пр-кт. Блюхера, 82;г. Уссурийск, пр-кт. Блюхера, 82
Приморский край, г. Уссурийск, ул. Слободская, 5;г. Уссурийск, ул. Слободская, 5
Приморский край, г. Уссурийск, пр-кт. Блюхера, 16;г. Уссурийск, пр-кт. Блюхера, 16
Свердловская область, г. Нижний Тагил, Октябрьский проспект, 16;г. Нижний Тагил, Октябрьский проспект, 16
Республика Адыгея, г. Майкоп, ул. Калинина, 210;г. Майкоп, ул. Калинина, 210
Воронежская область, г. Воронеж, ул. Елецкая, 6;г. Воронеж, ул. Елецкая, 6
Свердловская область, город Первоуральск, ул. Ватутина, 41;г. Первоуральск, ул. Ватутина, 41
Свердловская область, г. Первоуральск, пр. Космонавтов, 1;г. Первоуральск, пр. Космонавтов, 1
Свердловская область, г. Первоуральск, пр-кт Космонавтов, 12;г. Первоуральск, пр-кт Космонавтов, 12
Свердловская область, г. Первоуральск, ул. Красноармейская, 22;г. Первоуральск, ул. Красноармейская, 22
Свердловская область,  г. Первоуральск, ул. Папанинцев , 8;г. Первоуральск, ул. Папанинцев , 8
Свердловская область, г. Первоуральск, пр. Ильича, 6;г. Первоуральск, пр. Ильича, 6
Свердловская область, г. Первоуральск, ул. Строителей, 7;г. Первоуральск, ул. Строителей, 7
Свердловская область, г. Первоуральск, ул. Строителей, 9;г. Первоуральск, ул. Строителей, 9
Республика Адыгея, г. Майкоп, ул. Кирпичная, 75;г. Майкоп, ул. Кирпичная, 75
Республика Адыгея, г. Майкоп, ул. Пионерская, 374, корп. А;г. Майкоп, ул. Пионерская, 374, корп. А
Республика Адыгея, г. Майкоп, ул. 12 Марта, 155;г. Майкоп, ул. 12 Марта, 155
Республика Адыгея, г. Майкоп, ул. Гоголя, 2;г. Майкоп, ул. Гоголя, 2
Республика Адыгея, г. Майкоп, ул. Загородная, 4;г. Майкоп, ул. Загородная, 4
Республика Адыгея, г. Майкоп, ул. Краснооктябрьская, 51;г. Майкоп, ул. Краснооктябрьская, 51
Республика Адыгея, г. Майкоп, ул. Крестьянская, 236;г. Майкоп, ул. Крестьянская, 236
Республика Адыгея, г. Майкоп, ул. Пушкина, 173;г. Майкоп, ул. Пушкина, 173
Приморский край, г. Артем, ул. Михайловская, 1А;г. Артем, ул. Михайловская, 1А
Свердловская область, г. Первоуральск, ул. Ватутина, 73-Б;г. Первоуральск, ул. Ватутина, 73-Б
Свердловская область, г. Первоуральск, ул. Карбышева, 1 а;г. Первоуральск, ул. Карбышева, 1 а
Свердловская область, г. Первоуральск, ул. Комсомольская, 21 Б;г. Первоуральск, ул. Комсомольская, 21 Б
Свердловская область, г. Первоуральск, пр. Космонавтов, 15 А;г. Первоуральск, пр. Космонавтов, 15 А
Свердловская область, г. Первоуральск, ул. Ленина, 21 Б;г. Первоуральск, ул. Ленина, 21 Б
Приморский край, г. Находка, ул Пирогова, 14;г. Находка, ул Пирогова, 14
Свердловская область, г. Нижний Тагил, ул. Бобкова, 3;г. Нижний Тагил, ул. Бобкова, 3
Свердловская область, г. Нижний Тагил, ул. Верхняя Черепанова, 17А;г. Нижний Тагил, ул. Верхняя Черепанова, 17А
Свердловская область, г. Нижний Тагил, ул. Гагарина, 11;г. Нижний Тагил, ул. Гагарина, 11
Свердловская область, г. Нижний Тагил, ул. Гвардейская, 12;г. Нижний Тагил, ул. Гвардейская, 12
Свердловская область, г. Нижний Тагил, ул. Гвардейская, 20;г. Нижний Тагил, ул. Гвардейская, 20
Свердловская область, город Нижний Тагил, Тагилстроевский район, ул. Гвардейская, 24;г. Нижний Тагил, ул. Гвардейская, 24
Свердловская область, г. Нижний Тагил, ул. Жуковского, 5А;г. Нижний Тагил, ул. Жуковского, 5А
Свердловская область, г. Нижний Тагил, ул. Зари, 30;г. Нижний Тагил, ул. Зари, 30
Свердловская область, г. Нижний Тагил, ул. Зари, 32;г. Нижний Тагил, ул. Зари, 32
Свердловская область, г. Нижний Тагил, ул. Известковая, 9;г. Нижний Тагил, ул. Известковая, 9
Свердловская область, г. Нижний Тагил, ул. Ильича, 22;г. Нижний Тагил, ул. Ильича, 22
Свердловская область, г. Нижний Тагил, ул. Ильича, 12;г. Нижний Тагил, ул. Ильича, 12
Свердловская область, г. Нижний Тагил, Калинина, 2А;г. Нижний Тагил, Калинина, 2А
Свердловская область, г. Нижний Тагил, ул. Карла Либкнехта, 30;г. Нижний Тагил, ул. Карла Либкнехта, 30
Свердловская область, г. Нижний Тагил, ул. Карла Либкнехта, 37;г. Нижний Тагил, ул. Карла Либкнехта, 37
Свердловская область, г. Нижний Тагил, ул. Коминтерна, 47;г. Нижний Тагил, ул. Коминтерна, 47
Свердловская область, г. Нижний Тагил, ул. Коминтерна, 59;г. Нижний Тагил, ул. Коминтерна, 59
Свердловская область, город Нижний Тагил, ул. Сергея Коровина 1;г. Нижний Тагил, ул. Сергея Коровина 1
Свердловская область, город Нижний Тагил, ул. Липовый тракт, д. 11;г. Нижний Тагил, ул. Липовый тракт, д. 11
Республика Коми, г. Ухта, ул. Кирпичная, 23;г. Ухта, ул. Кирпичная, 23
Республика Коми, городской округ Ухта, поселок городского типа Шудаяг, ул. Тимирязева, 33;городской округ Ухтап.г.т.Шудаяг, ул. Тимирязева, 33
Республика Коми, г. Ухта пгт. Шудаяг, ул. Шахтинская, 9;г. Ухта пгт. Шудаяг, ул. Шахтинская, 9
Ставропольский край, г. Кисловодск, ул. Красноармейская, 10;г. Кисловодск, ул. Красноармейская, 10
Ставропольский край, г. Кисловодск, ул. Крылова, 16;г. Кисловодск, ул. Крылова, 16
Ставропольский край, г. Кисловодск, ул. Ленинградская, 22;г. Кисловодск, ул. Ленинградская, 22
Ставропольский край, г. Кисловодск, ул. Челюскинцев, 5;г. Кисловодск, ул. Челюскинцев, 5
Свердловская область, г.Нижний Тагил, ул.Карла Маркса, 2;г.Нижний Тагил, ул.Карла Маркса, 2
Свердловская область, г. Нижний Тагил, ул. Алтайская, 35;г. Нижний Тагил, ул. Алтайская, 35
Свердловская область, г. Нижний Тагил, ул. К.Маркса, 49;г. Нижний Тагил, ул. К.Маркса, 49
Свердловская область, г. Нижний Тагил, ул. Фрунзе, 25А;г. Нижний Тагил, ул. Фрунзе, 25А
Свердловская область, г. Нижний Тагил, ул. Красноармейская, 107А;г. Нижний Тагил, ул. Красноармейская, 107А
Свердловская область, г. Нижний Тагил, ул. Аганичева, 16 лит. А;г. Нижний Тагил, ул. Аганичева, 16 лит. А
Свердловская область, г. Нижний Тагил, ул. Октябрьской революции, 2;г. Нижний Тагил, ул. Октябрьской революции, 2
Свердловская область, г. Нижний Тагил, ул. Газетная, 27;г. Нижний Тагил, ул. Газетная, 27
Свердловская область, г. Нижний Тагил, ул. Газетная, 71;г. Нижний Тагил, ул. Газетная, 71
Свердловская область, г. Нижний Тагил, ул. Газетная, 83А;г. Нижний Тагил, ул. Газетная, 83А
Свердловская область, г. Нижний Тагил, ул. Щорса, 8;г. Нижний Тагил, ул. Щорса, 8
Свердловская область, г. Нижний Тагил, ул. Энтузиастов, 15;г. Нижний Тагил, ул. Энтузиастов, 15
Свердловская область, г. Нижний Тагил, ул. Новострой, 11;г. Нижний Тагил, ул. Новострой, 11
Свердловская область, г. Нижний Тагил, ул. Окунева, 45;г. Нижний Тагил, ул. Окунева, 45
Свердловская область, г. Нижний Тагил, ул. Оплетина, 11А;г. Нижний Тагил, ул. Оплетина, 11А
Свердловская область, г. Нижний Тагил, ул. Островского, д. 3;г. Нижний Тагил, ул. Островского, д. 3
Свердловская область, г. Нижний Тагил, ул. Пархоменко, 13;г. Нижний Тагил, ул. Пархоменко, 13
Свердловская область, г. Нижний Тагил, ул. Пархоменко, 109;г. Нижний Тагил, ул. Пархоменко, 109
Свердловская область, г. Нижний Тагил, ул. Патона, 7;г. Нижний Тагил, ул. Патона, 7
Свердловская область, г. Нижний Тагил, ул. Перова, 133;г. Нижний Тагил, ул. Перова, 133
